Event_ID,Event_Name,Event_Type,Sub_Type,Region,Calendar_Anchor,Annual_Week_Peak,Typical_Start_Week,Typical_End_Week,Lead_Time_Weeks,Decay_Weeks,Category_Impact_Keywords,Impact_Profile,Demand_Multiplier,Weather_Sensitivity,Geography_Weight,Recurrence_Type,Source_URL,Notes
EV101,Diwali Gifting Pre-Season,Festival,Gifting,India,2026,44,41,45,5,2,"Chocolates, Dry Fruits, Sweets, Gift Hampers, Premium FMCG, Beauty, Home Decor",Positive,3.0,Low,National,Annual,https://agriexchange.apeda.gov.in/MarketReport/999990508202612916015143.pdf,
EV102,Diwali Lighting Pre-Season,Festival,Preparation,India,2026,44,42,45,4,2,"Decorative Lights, Diyas, Candles, Lamps, Electrical Goods, Home Decor",Positive,2.5,Low,National,Annual,https://agriexchange.apeda.gov.in/MarketReport/999990508202612916015143.pdf,
EV103,Karwa Chauth,Festival,Hindu/Family,North & West India,2026,44,44,44,3,1,"Sarees, Jewellery, Cosmetics, Mehendi, Bangles, Gifts, Sweets",Positive,2.2,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV104,Dhanteras,Festival,Hindu/Auspicious Shopping,Pan-India,2026,45,44,45,5,2,"Gold, Silver, Jewellery, Utensils, Electronics, Appliances, Vehicles, Home Products",Positive,3.8,Low,National,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV105,Naraka Chaturdashi,Festival,Hindu,Pan-India; regional,2026,45,45,45,3,1,"Beauty, Personal Care, Oils, Traditional Food, Sweets, Puja Items",Positive,2.0,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV106,Diwali / Lakshmi Puja,Festival,Hindu,Pan-India,2026,45,43,46,6,2,"Sweets, Dry Fruits, Chocolates, Gifts, Jewellery, Electronics, Appliances, Apparel, Home Decor, Lighting, FMCG",Positive,4.5,Low,National,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV107,Govardhan Puja / Annakut,Festival,Hindu,North & West India; regional,2026,46,46,46,2,1,"Fresh Produce, Grains, Dairy, Sweets, Food Ingredients, Puja Items",Positive,2.0,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV108,Bhai Dooj,Festival,Family Gifting,Pan-India,2026,46,45,46,3,1,"Gifts, Chocolates, Sweets, Apparel, Accessories, Jewellery, Cosmetics",Positive,2.5,Low,National,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV109,Diwali Gifting Peak,Commercial,Gifting,India,2026,45,43,46,6,2,"Gift Hampers, Dry Fruits, Chocolates, Premium FMCG, Home Decor, Electronics, Watches",Positive,4.0,Low,National,Annual,https://agriexchange.apeda.gov.in/MarketReport/999990508202612916015143.pdf,
EV110,Diwali Corporate Gifting,Commercial,Corporate Gifting,India,2026,45,42,45,7,2,"Premium FMCG, Dry Fruits, Chocolates, Electronics, Stationery, Gift Hampers, Home Gifts",Positive,3.5,Low,National,Annual,https://agriexchange.apeda.gov.in/MarketReport/999990508202612916015143.pdf,
EV111,Chhath Puja,Festival,Regional/Religious,"Bihar, Jharkhand, Eastern UP, Delhi-NCR migrant clusters",2026,47,46,47,3,1,"Fruits, Sugarcane, Jaggery, Traditional Food, Bamboo Products, Puja Items, Ethnic Wear",Positive,2.8,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV112,Tulsi Vivah,Religious,Hindu/Wedding,North & West India,2026,47,47,47,2,1,"Flowers, Puja Items, Sweets, Traditional Food, Religious Goods",Positive,1.6,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV113,Kartika Purnima / Dev Deepawali,Festival,Hindu/Religious,"North India, Varanasi and other regional clusters",2026,48,48,48,2,1,"Diyas, Flowers, Puja Items, Religious Goods, Traditional Food, Travel",Positive,1.8,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV114,Children's Day,Commercial,Kids,India,2026,46,46,46,2,1,"Toys, Chocolates, Kids Apparel, Books, Stationery, Games",Positive,1.8,Low,National,Annual,,
EV115,Wedding Season — Winter Restart,Lifecycle,Wedding,India,2026,47,46,52,8,4,"Bridal Wear, Groom Wear, Jewellery, Beauty, Footwear, Gifts, Home Products",Positive,3.3,Low,Regional,Annual,,
EV116,11.11 Shopping Festival,Commercial,E-commerce Sale,India / online,2026,45,44,46,2,1,"Electronics, Fashion, Beauty, Home, Toys, FMCG, Accessories",Positive,2.0,Low,National,Annual,,Use 45 as numeric peak week; exact platform participation varies.
EV117,Black Friday,Commercial,E-commerce Sale,India,2026,48,47,49,3,1,"Electronics, Smartphones, Laptops, Appliances, Fashion, Gaming, Beauty, Home, Luggage",Positive,3.2,Low,National,Annual,,
EV118,Black Friday Consumer Electronics,Commercial,E-commerce Sale,India,2026,48,47,49,3,1,"TVs, Laptops, Mobiles, Gaming, Audio, Smart Home, Appliances",Positive,3.8,Low,National,Annual,,
EV119,Black Friday Fashion Sales,Commercial,E-commerce Sale,India,2026,48,47,49,3,1,"Apparel, Footwear, Accessories, Beauty, Luggage",Positive,2.8,Low,National,Annual,,
EV120,Post-Diwali Clearance,Commercial,Clearance,India,2026,47,46,48,3,2,"Festive Apparel, Decor, Gift Packs, Home Goods, Toys, Consumer Electronics",Positive,1.8,Low,National,Annual,,
EV121,Cyber Monday,Commercial,E-commerce Sale,India,2026,49,48,49,2,1,"Laptops, Smartphones, Gaming, Electronics, Accessories, Software, Online Subscriptions",Positive,2.5,Low,National,Annual,,
EV122,Winter Onset — North India,Weather,Winter,North & Central India,2026,46,45,49,3,3,"Winterwear, Blankets, Heaters, Hot Beverages, Skincare, Humidifiers",Positive,1.7,High,Regional,Annual,https://mausam.imd.gov.in/imd_latest/contents/onset.php,
EV123,Christmas Pre-Season,Religious,Christian/Commercial,India; Christian clusters and metros,2026,51,49,51,4,2,"Christmas Decor, Trees, Lights, Gifts, Toys, Chocolates, Cakes, Bakery, Fashion, Party Supplies",Positive,2.5,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV124,Secret Santa / Corporate Gifting,Commercial,Corporate Gifting,India,2026,51,49,52,3,2,"Gifts, Chocolates, Stationery, Beauty, Accessories, Premium FMCG",Positive,2.0,Low,National,Annual,,
EV125,Christmas Holiday Kids Demand,Commercial,Kids/Holiday,India,2026,51,50,52,4,2,"Toys, Games, Books, Kids Apparel, Electronics, Sports Goods",Positive,2.8,Low,National,Annual,,
EV126,Christmas,Religious,Christian/Festival,"India; strongest in Goa, Kerala, Northeast, metros and Christian communities",2026,52,51,52,4,2,"Gifts, Toys, Chocolates, Cakes, Bakery, Beverages, Apparel, Beauty, Home Decor, Party Supplies",Positive,3.0,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV127,Christmas-New Year Travel Peak,Lifecycle,Travel/Holiday,India,2026,52,51,52,4,2,"Luggage, Travel Accessories, Apparel, Footwear, Cameras, Outdoor Products",Positive,2.5,Medium,National,Annual,,
EV128,New Year Party Pre-Season,Commercial,Celebration,India,2026,52,51,52,2,1,"Party Supplies, Beverages, Snacks, Cakes, Chocolates, Fashion, Beauty, Audio Equipment",Positive,2.2,Low,National,Annual,,
EV129,New Year's Eve,Commercial,Gregorian/New Year,India,2026,52,52,52,2,1,"Beverages, Snacks, Cakes, Party Supplies, Fashion, Beauty, Gifts",Positive,2.5,Low,National,Annual,,
EV130,Year-End Clearance Sale,Commercial,Clearance,India,2026,52,50,52,3,3,"Apparel, Footwear, Electronics, Appliances, Furniture, Home Furnishings, Accessories",Positive,2.5,Low,National,Annual,,
EV131,Winter Wedding Peak,Lifecycle,Wedding,India,2026,51,47,52,8,3,"Wedding Wear, Jewellery, Cosmetics, Footwear, Gifts, Home Products, Beauty",Positive,3.5,Low,Regional,Annual,,
EV132,Financial Year Planning / Corporate Budget Buying,Lifecycle,Business Cycle,India,2026,52,50,52,4,2,"Office Equipment, Computers, Printers, Furniture, Packaging, Business Supplies",Positive,1.4,Low,National,Annual,,
EV133,Extreme Heatwave Alert,Weather,Dynamic Extreme Weather,India; geography-dependent,2026,20,10,25,1,1,"Air Conditioners, Air Coolers, Fans, Refrigerators, Water, Electrolytes, Sunscreen, Cotton Apparel",Positive,3.0,Very High,Regional,Dynamic,https://mausam.imd.gov.in/imd_latest/contents/onset.php,"Should be activated from observed/forecast heatwave data, not fixed week alone."
EV134,Severe Rain / Flood Risk,Weather,Dynamic Extreme Weather,India; affected districts only,2026,31,24,38,1,1,"Bottled Water, Cleaning Supplies, Disinfectants, Emergency Goods, Torches, Batteries, Waterproof Storage",Positive,2.5,Very High,Local,Dynamic,https://mausam.imd.gov.in/imd_latest/contents/onset.php,Apply only to impacted geographies.
EV135,Monsoon Withdrawal / Post-Monsoon,Weather,Season Transition,India,2026,39,37,42,2,2,"Home Cleaning, Pest Control, Travel Goods, Apparel, Festival Goods, Dehumidifiers",Positive,1.4,High,Regional,Annual,https://mausam.imd.gov.in/imd_latest/contents/onset.php,
EV136,Post-Monsoon Pest/Humidity Cycle,Weather,Humidity/Pest,India,2026,41,39,44,2,2,"Pest Control, Cleaning Supplies, Storage, Dehumidifiers, Household Hygiene",Positive,1.5,High,Regional,Annual,https://mausam.imd.gov.in/imd_latest/contents/onset.php,
EV137,Cold Wave Alert,Weather,Dynamic Extreme Weather,North India,2026,2,48,6,1,1,"Heaters, Blankets, Winterwear, Hot Beverages, Skincare, Humidifiers",Positive,2.8,Very High,Regional,Dynamic,https://mausam.imd.gov.in/imd_latest/contents/onset.php,Peak week should be driven by actual IMD alerts.
EV138,Heavy Fog / Travel Disruption,Weather,Dynamic Weather,North India,2026,2,48,6,1,1,"Travel Goods, Hot Beverages, Winterwear, Food Delivery/Ready Foods, Vehicle Safety Accessories",Mixed,1.4,High,Regional,Dynamic,https://mausam.imd.gov.in/imd_latest/contents/onset.php,
EV139,Shravan Month,Religious,Fasting/Vegetarian Cycle,North & West India; pan-India Hindu communities,2026,31,27,35,3,2,"Fruits, Dairy, Fasting Foods, Dry Fruits, Puja Items, Flowers, Vegetarian Foods",Mixed,1.7,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,Calendar timing varies by regional lunar month convention.
EV140,Ekadashi Recurring Fasting Demand,Religious,Recurring Fasting,Pan-India Hindu communities,2026,30,1,52,1,1,"Fruits, Dairy, Fasting Foods, Dry Fruits, Religious Goods",Mixed,1.3,Low,Regional,Recurring,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,Occurs multiple times annually; treat as repeated event instances.
EV141,Navratri Fasting Regime,Religious,Fasting,North/West/East India; pan-India,2026,42,41,43,4,2,"Fasting Flour, Sabudana, Potatoes, Fruits, Dairy, Dry Fruits, Fasting Snacks",Positive,2.2,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV142,Lent / Christian Fasting Period,Religious,Fasting,Christian community clusters,2026,12,8,14,3,2,"Vegetarian Foods, Bakery, Seafood, Fresh Produce, Religious Goods",Mixed,1.3,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,Exact dates vary with Easter.
EV143,Jain Paryushan,Religious,Fasting/Vegetarian,"Gujarat, Rajasthan, Maharashtra and Jain clusters",2026,35,35,36,2,1,"Vegetarian Foods, Fasting Foods, Fruits, Dry Fruits, Religious Goods",Mixed,1.5,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV144,Jain Das Lakshan,Religious,Fasting/Vegetarian,Jain community clusters,2026,36,35,37,2,1,"Vegetarian Foods, Fasting Foods, Fruits, Religious Goods",Mixed,1.4,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV145,Academic New Year Preparation,Lifecycle,Education,India,2026,14,10,17,6,3,"Books, Stationery, School Supplies, Laptops, Tablets, Printers, Study Furniture",Positive,1.8,Low,National,Annual,,
EV146,School Admissions Cycle,Lifecycle,Education,India,2026,17,12,20,5,3,"Uniforms, Stationery, Bags, Books, Shoes, Electronics, School Supplies",Positive,1.7,Low,National,Annual,,
EV147,College Admissions Cycle,Lifecycle,Education,India,2026,27,21,31,6,3,"Laptops, Tablets, Bags, Apparel, Footwear, Stationery, Hostel Supplies",Positive,1.8,Low,National,Annual,,
EV148,Summer Vacation Peak,Lifecycle,Travel/Holiday,India,2026,20,17,23,4,3,"Toys, Travel, Luggage, Sports Goods, Swimwear, Outdoor Goods, Cameras, Snacks",Positive,2.0,High,National,Annual,,
EV149,Back-to-Work / Post-Vacation Demand,Lifecycle,Work/Lifestyle,India,2026,30,28,32,2,2,"Apparel, Footwear, Office Accessories, Electronics, Bags, Personal Care",Positive,1.3,Low,National,Annual,,
EV150,Corporate Festive Procurement,Lifecycle,Corporate Gifting,India,2026,43,40,46,6,3,"Gift Hampers, Electronics, Premium FMCG, Dry Fruits, Stationery, Home Gifts",Positive,2.8,Low,National,Annual,https://agriexchange.apeda.gov.in/MarketReport/999990508202612916015143.pdf,
EV151,Post-Festival Restock / Consumption Normalization,Lifecycle,Post-Festival,India,2026,47,46,48,1,2,"FMCG, Household Cleaning, Personal Care, Grocery, Fresh Produce",Mixed,1.3,Low,National,Annual,,
EV152,Pre-Christmas Home & Party Preparation,Commercial,Holiday Preparation,India,2026,50,48,51,3,2,"Home Decor, Party Supplies, Bakery, Beverages, Gifts, Toys, Lighting",Positive,2.1,Low,National,Annual,,
EV153,Makaravilakku / Sabarimala Pilgrimage Season,Festival,Pilgrimage/Religious,Kerala and South India,2026,3,1,5,3,3,"Travel Goods, Ethnic Wear, Religious Goods, Food, Footwear, Personal Care, Gifts",Positive,1.6,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV154,Thaipusam,Festival,Hindu/Regional,"Tamil Nadu, Kerala; Tamil diaspora",2026,4,4,5,2,1,"Religious Goods, Flowers, Fruits, Sweets, Ethnic Wear, Travel Goods",Positive,1.5,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV155,Magh Bihu / Bhogali Bihu,Festival,Harvest/Regional,Assam,2026,3,3,3,2,1,"Rice, Meat, Fish, Sweets, Traditional Foods, Ethnic Wear, Home Goods",Positive,1.8,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV156,Vaisakhi Gurdwara / Community Celebration,Festival,Sikh/Regional,"Punjab, Delhi-NCR, North India",2026,15,14,15,2,1,"Ethnic Wear, Sweets, Dairy, Fresh Food, Religious Goods, Gifts",Positive,1.7,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV157,Thrissur Pooram,Festival,Cultural/Regional,Kerala,2026,17,17,18,3,1,"Ethnic Wear, Flowers, Sweets, Food, Travel, Gifts, Decorative Goods",Positive,1.5,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV158,Jagannath Snana Yatra,Festival,Regional/Religious,Odisha,2026,25,25,25,2,1,"Religious Goods, Flowers, Fruits, Sweets, Travel Goods",Positive,1.4,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV159,Bonalu,Festival,Regional/Religious,"Telangana, especially Hyderabad",2026,29,28,31,3,1,"Ethnic Wear, Flowers, Sweets, Puja Items, Food, Gifts",Positive,1.6,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV160,Bathukamma Pre-Season,Festival,Regional/Women's Festival,Telangana,2026,40,38,41,3,2,"Flowers, Sarees, Jewellery, Ethnic Wear, Gifts, Home Decor",Positive,1.8,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV161,Hornbill / Northeast Cultural Tourism Season,Festival,Cultural/Tourism,Nagaland & Northeast,2026,50,49,50,4,2,"Travel, Ethnic Wear, Handicrafts, Gifts, Food, Cameras, Outdoor Goods",Positive,1.4,Low,Regional,Annual,,
EV162,Goa Carnival / Pre-Lent Tourism,Festival,Cultural/Tourism,Goa,2026,8,7,8,3,1,"Travel, Apparel, Beachwear, Footwear, Party Supplies, Food, Beverages, Gifts",Positive,1.6,Low,Regional,Annual,,
EV163,Eid-ul-Fitr Gifting Peak,Religious,Islamic/Gifting,Pan-India Muslim community clusters,2026,13,12,13,4,1,"Ethnic Wear, Footwear, Fragrances, Jewellery, Gifts, Dry Fruits, Bakery, Meat, Home Decor",Positive,3.2,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,Lunar date shifts substantially.
EV164,Muharram Observance,Religious,Islamic,India; Muslim community clusters,2026,30,29,31,2,1,"Simple Foods, Religious Goods, Traditional Apparel, Water/Beverages, Community Supplies",Mixed,1.3,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,Retail effects vary strongly by community and observance style.
EV165,Mosquito Season Demand Peak,Weather,Pest/Monsoon,India; especially humid/monsoon regions,2026,31,26,36,2,2,"Mosquito Repellents, Insecticides, Electric Vaporizers, Nets, Cleaning Supplies, Personal Care",Positive,2.2,Very High,Regional,Annual,,
EV166,Rainwear Replacement / Mid-Monsoon Restock,Weather,Monsoon/Replacement,India,2026,31,28,34,1,1,"Umbrellas, Raincoats, Waterproof Footwear, Bags, Shoe Care, Cleaning Supplies",Positive,1.6,Very High,National,Annual,,
EV167,Festive Inventory Build-Up,Commercial,Supply Chain/Festive,India,2026,41,36,45,7,4,"FMCG, Apparel, Jewellery, Electronics, Home Decor, Gifts, Toys, Beauty",Positive,2.0,Low,National,Annual,https://agriexchange.apeda.gov.in/MarketReport/999990508202612916015143.pdf,
EV168,Diwali Pre-Stocking for Retailers,Lifecycle,Supply Chain/Festive,India,2026,42,38,45,8,3,"FMCG, Sweets Ingredients, Dry Fruits, Chocolates, Apparel, Electronics, Home Decor, Lighting",Positive,2.2,Low,National,Annual,https://agriexchange.apeda.gov.in/MarketReport/999990508202612916015143.pdf,
EV169,Wedding Retail Inventory Build-Up — Winter,Lifecycle,Supply Chain/Wedding,India,2026,46,40,52,8,3,"Ethnic Wear, Jewellery, Beauty, Footwear, Gifts, Home Appliances, Furniture",Positive,2.0,Low,Regional,Annual,,
EV170,Wedding Retail Inventory Build-Up — Summer,Lifecycle,Supply Chain/Wedding,India,2026,19,13,23,8,3,"Ethnic Wear, Jewellery, Beauty, Footwear, Gifts, Home Appliances, Furniture",Positive,1.9,Low,Regional,Annual,,
EV171,Winter Transition — Southern India,Weather,Season Transition,South India,2026,5,4,7,2,2,"Light Winterwear, Blankets, Skincare, Hot Beverages, Home Comfort Products",Positive,1.3,High,Regional,Annual,https://mausam.imd.gov.in/,Regional winter transition; South India generally has a milder seasonal effect.
EV172,Valentine's Pre-Season Demand Build,Commercial,Relationship/Gifting,India,2026,6,5,7,3,1,"Chocolates, Flowers, Perfumes, Jewellery, Soft Toys, Greeting Cards, Gifts, Beauty",Positive,1.6,Low,National,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,Pre-event ramp distinct from Valentine's Day peak.
EV173,Bihu / Regional New Year Travel & Gifting Build,Festival,Regional/Travel/Gifting,Assam & Northeast,2026,16,15,16,3,1,"Traditional Wear, Gifts, Travel, Fresh Food, Sweets, Home Goods, Handicrafts",Positive,1.6,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,Captures secondary shopping following the principal Bohag Bihu peak.
EV174,Pre-College / Hostel Setup Season,Lifecycle,Education/Relocation,India,2026,32,29,34,4,3,"Laptops, Tablets, Backpacks, Bedding, Storage, Kitchenware, Stationery, Personal Care, Apparel",Positive,1.6,Low,National,Annual,,Strong around university admission and hostel-move periods; timing varies by institution/state.
